LANGUAGE SELECT PROMPTS,
utter_lets_use, Utilisons le français

NAVIGATION PROMPTS
utter_main_menu, Veuillez sélectionner une option
utter_where_to_get, Où obtenir de l'aide en Irlande

DIALOGUE PROMPTS
utter_hello, Salut!
utter_affirm, Oui s'il vous plaît
utter_deny, Non merci
utter_okay, D'accord!

DEFAULT FALLBACK
default_fallback, Sorry\, this input is out of the scope of this chatbot. For questions on living in Ireland\, please see the "Where to get help" conversation. If you have encountered a technical issue please submit a bug report here: LINK FOR ERROR REPORTING


CONVERSATION: WHERE TO GET HELP
utter_your_local_citizens_1, Votre Centre d’information des citoyens le plus proche vous renseignera à propos des services publics en Irlande\, des droits de résidence et de travail\, des services de santé\, du logement\, des prestations sociales et d’informations générales sur votre séjour en Irlande:
utter_your_local_citizens_2, par téléphone -  0761 074000
utter_your_local_citizens_3, en ligne sur www.citizensinformation.ie
utter_your_local_citizens_4, ou en personne en appelant le Centre d’information des citoyens (CIC)
utter_your_local_citizens_5, Souhaitez-vous voir votre centre le plus proche?

CONVERSATION: ACCOMMODATION,
utter_the_first_challenge, Votre premier défi est de trouver un nouvel hébergement. Cela peut être dans un logement public (social) ou dans un logement privé et loué.
social_housing, Parlez-moi du logement public
private_housing, Parlez-moi du logement privé
help_with_paying, Can I get financial assistance for rent?
homelessness, Et si je suis sans abri ?
housing_checklist, Que dois-je faire avant de commencer à louer ?
main_menu, Retour au menu principal

utter_in_ireland_city, En Irlande\, les conseils municipaux et les conseils de comté (aussi connu sous le nom d'administrations locales) fournit des logements sociaux pour les personnes qui ne peuvent se loger par leurs propres moyens. Appelez votre Bureau d'administration locale et demandez-leur aide et conseils pour trouver un endroit où vivre. 
utter_housing_associations_and, Les associations et coopératives d’hébergements fournissent également des logements sociaux aux personnes qui n’ont pas les moyens d’acheter leur propre logement ou d’en louer un dans le secteur privé. Vous trouverez une liste de bureaux du logement au www.citizensinformation.ie (cliquez sur « Housing »)
utter_not_everyone_has, Tout le monde n’a pas droit au logement de l’administration locale. Cela dépend de votre éligibilité et de vos besoins\, comprenant le plafond des revenus des ménages. Il y a également une longue liste d’attente. Le montant du loyer est basé sur le revenu (net) de tous les membres du foyer de plus de 18 ans. Vous devez remplir un formulaire de candidature pour le logemente l’administration locale. Votre administration locale ou votre Bureau d’informations des citoyens peuvent vous aider à le faire.
utter_housing_associations_and_2, Les associations et coopératives d’hébergements ont également des critères d’éligibilité pour leurs logements. Là encore\, votre Bureau d’informations des citoyens local peut vous aider sur ce point.
what_points_do, À quels points dois-je faire particulièrement attention lorsque je postule pour l’aide au logement?
